Rank,Player,Team,Salary
449,Isaiah Canaan\canaais01,PHO,1069308
450,Wesley Iwundu\iwundwe01,ORL,1050000
451,Livio Jean-Charles\jeancli01,SAS,1035200
452,Justin Hamilton\hamilju01,TOR,1000000
453,Gerald Henderson\hendege02,PHI,1000000
454,Rade Zagorac\zagorra01,MEM,950000
455,Ivan Rabb\rabbiv01,MEM,950000
456,Ike Anigbogu\anigbik01,IND,950000
457,Gerald Green\greenge01,HOU,947248
458,Jason Thompson\thompja02,GSW,945126
459,Martell Webster\webstma02,WAS,830000
460,Frank Jackson\jacksfr01,NOP,815615
461,Jordan Bell\belljo01,GSW,815615
462,Dakari Johnson\johnsda04,OKC,815615
463,Sterling Brown\brownst02,MIL,815615
464,Dillon Brooks\brookdi01,MEM,815615
465,Jawun Evans\evansja01,LAC,815615
466,Sindarius Thornwell\thornsi01,LAC,815615
467,Dwayne Bacon\bacondw01,CHO,815615
468,Tyler Dorsey\dorsety01,ATL,815615
469,Davon Reed\reedda01,PHO,815615
470,Royce O'Neale\onealro01,UTA,815615
471,Alfonzo McKinnie\mckinal01,TOR,815615
472,Brandon Paul\paulbr01,SAS,815615
473,Khem Birch\birchkh01,ORL,815615
474,Thomas Bryant\bryanth01,LAL,815615
475,Zhou Qi\qizh01,HOU,815615
476,Maxi Kleber\klebima01,DAL,815615
477,Daniel Theis\theisda01,BOS,815615
478,Sean Kilpatrick\kilpase01,MIL,789725
479,Trey Burke\burketr01,NYK,784160
480,Alex Poythress\poythal01,IND,778668
481,Marco Belinelli\belinma01,PHI,776217
482,Joe Johnson\johnsjo02,HOU,749905
483,Dwight Buycks\buyckdw01,DET,748160
484,Tyler Cavanaugh\cavanty01,ATL,679919
485,Carlos Delfino\delfica01,LAC,650000
486,Caron Butler\butleca01,SAC,517220
487,Jordan Farmar\farmajo01,LAC,510921
488,Ersan Ilyasova\ilyaser01,PHI,502328
489,Leandro Barbosa\barbole01,PHO,500000
490,Tibor Pleiss\pleisti01,PHI,500000
491,Michael Gbinije\gbinimi01,DET,500000
492,Aaron Gray\grayaa01,DET,452059
493,Festus Ezeli\ezelife01,POR,333334
494,C.J. Watson\watsocj01,ORL,333334
495,Gal Mekel\mekelga01,DAL,315760
496,Miroslav Raduljica\radulmi01,LAC,300000
497,Cameron Oliver\oliveca01,HOU,300000
498,Ramon Sessions\sessira01,WAS,263124
499,Jordan Crawford\crawfjo02,NOP,250000
500,Emeka Okafor\okafoem01,NOP,239204
501,Brandon Jennings\jennibr01,MIL,238020
502,Wade Baldwin\baldwwa01,POR,222476
503,Isaiah Canaan\canaais01,CHI,200000
504,Rakeem Christmas\chrisra01,IND,172552
505,DeAndre Liggins\liggide01,NOP,172238
506,Sean Kilpatrick\kilpase01,LAC,172238
507,Rashad Vaughn\vaughra01,ORL,166258
508,David Stockton\stockda01,UTA,148318
